"Reference";"Value";"MPN";"Qty";"Description"
"C201,C206,C209,C215,C221,C227";"100u";"EEUFR1E101";"6";"Polarized electrolityc capacitor"
"C202,C205,C210,C211,C216,C217,C222,C223,C228,C229";"10u";"C3225B106K500NT";"10";"Unpolarized ceramic capacitor"
"C203";"150p";"CC0805JRNPO0BN151";"1";"Unpolarized ceramic capacitor"
"C204";"100n";"08055C104K4T2A";"1";"Unpolarized ceramic capacitor"
"C207,C208";"1000u";"EEUFM1V102";"2";"Polarized electrolityc capacitor"
"C212,C213,C218,C219,C224,C225,C230,C231";"220u";"EEUFR1E221";"8";"Polarized electrolityc capacitor"
"C214,C220,C226,C232";"1u";"C2012B105K500NT2";"4";"Unpolarized ceramic capacitor"
"CT201,CT202,CT203,CT204,CT205,CT206,CT207,CT208,CT209";"33u";"293D336X9025D2TE3";"9";"Polarized tantal capacitor"
"D201";"B340";"B340A-13-F";"1";"40V 3A Schottky Barrier Rectifier Diode, SMC"
"L201";"10u";"B82464G4103M000";"1";"SMD Power Inductor"
"L202";"22u";"SLF12565T-220M3R5-PF";"1";"SMD Power Inductor"
"R201";"20k";"RC0805FR-0720KL";"1";"Resistor"
"R202";"10k";"RC0805FR-0710KL";"1";"Resistor"
"R203";"180k";"RC0805FR-07180KL";"1";"Resistor"
"R204";"75k";"RC0805FR-0775KL";"1";"Resistor"
"R205";"40k2";"RC0805FR-0740K2L";"1";"Resistor"
"R206";"178k";"RC0805FR-07178KL";"1";"Resistor"
"R207,R208,R209,R210";"0.2";"Cupper wire";"4";"Cupper wire on the plate"
"R211";"100";"RC0805FR-10100RL";"1";"Resistor"
"R212";"16k5";"RC0805FR-0716K5L";"1";"Resistor"
"U201";"MP1584EN";"MP1584EN";"1";"Synchronous Rectified 3A, 28V, 1.5MHz Step-Down Converter, SOIC-8"
"U202,U203,U204,U205";"LT3045xMSE";"LT3045xMSE";"4";"500mA, Adjustable, Ultralow Noise, Ultrahigh PSRR Linear Regulator, MSOP-12"
